index_x,conversation_num,gini_coefficient_num_words,gini_coefficient_num_chars,average_num_words,stdev_num_words,min_num_words,max_num_words,average_num_chars,stdev_num_chars,min_num_chars,max_num_chars,average_num_messages,stdev_num_messages,min_num_messages,max_num_messages,average_positive_sentiment,stdev_positive_sentiment,min_positive_sentiment,max_positive_sentiment,average_negative_sentiment,stdev_negative_sentiment,min_negative_sentiment,max_negative_sentiment,average_neutral_sentiment,stdev_neutral_sentiment,min_neutral_sentiment,max_neutral_sentiment,index_y,batch_num,round_num,speaker_hash,timestamp,majority_pct,num_votes
519,10,0.1957538682979489,0.217910447761194,56.714285714285715,19.72463496467795,31,86,287.14285714285717,111.90611954596912,159,462,5.142857142857143,1.6413036132965795,3,7,0.89476144,0.4311921,0.24780607,1.4881104,1.6209999,1.0070884,0.1557356,3.4518425,2.627096,0.9612945,1.5275695,4.268915,519,5,1,5d482eab21c9be351f763ee2,2020-04-21T15:57:26.188Z,1.0,6
555,11,0.38036083998816916,0.37676097333799047,69.0,46.40197040151266,6,149,350.57142857142856,233.49570638013708,27,755,6.0,3.2071349029490928,2,11,1.0116678,0.9190055,0.11443187,2.7205436,2.0203743,1.2798069,0.6155872,3.955962,2.967958,1.6485116,0.6061729,5.7273026,555,5,2,5e9f0b9c9dc0406f89874c96,2020-04-21T16:12:27.368Z,0.7142857142857143,7
597,12,0.19564673505128846,0.2042569257633678,81.57142857142857,29.075552533048114,49,124,432.42857142857144,160.509774640369,263,701,4.571428571428571,1.178030178747903,3,7,0.37506065,0.13544999,0.100809075,0.58819276,1.6390836,0.6646163,0.82061493,2.6357946,2.557284,0.7308902,1.7669027,3.9292357,597,6,0,5e9f0ac09dc0406f898749a1,2020-04-21T15:27:16.401Z,0.8333333333333334,6
629,13,0.18067226890756302,0.17789502164502163,58.285714285714285,18.759487395633677,26,87,301.7142857142857,96.02933225354232,150,460,3.7142857142857144,1.0301575072754257,2,5,0.43706653,0.17603894,0.16375946,0.72664493,1.2684023,0.51234925,0.6867603,2.3122952,2.008817,0.61928874,1.0315112,2.909924,629,6,3,5e9f0ac09dc0406f898749a2,2020-04-21T16:11:48.780Z,1.0,7
655,14,0.1038961038961039,0.10482418095682927,119.42857142857143,22.429936264205626,92,150,611.7142857142857,117.41101710987564,476,772,9.571428571428571,1.9897697538834456,8,13,1.1304672,0.4927942,0.54202485,2.147,3.9653027,1.7862185,1.8389218,7.200942,4.475659,0.5331439,4.014078,5.7300024,655,7,1,5e543e5ad1db96705ff13ef0,2020-04-21T15:39:36.218Z,0.5714285714285714,7
722,15,0.20982142857142858,0.20465007412030897,100.57142857142857,39.38765993432513,56,179,523.1428571428571,199.54550399160914,283,916,6.571428571428571,0.7284313590846835,6,8,0.69078547,0.2885754,0.3503459,1.239743,2.910663,0.5912896,2.112696,4.046065,2.9699805,0.63328934,2.041232,3.609765,722,7,2,5e9deb229dc0406f898725e9,2020-04-21T15:54:41.043Z,1.0,7
768,16,0.2799755301794454,0.2737331081081081,76.625,39.66401864410614,11,156,370.0,186.80337256056166,55,739,6.125,2.9341736485763756,2,13,0.88928795,0.4025165,0.50557494,1.8387431,2.4860044,1.605659,0.633584,6.439276,2.7497077,1.2384466,0.86084104,4.7219806,768,8,0,5e9f53cc9dc0406f8987ac5a,2020-04-21T20:41:22.287Z,0.875,8
817,17,0.18034918276374443,0.17523923444976078,84.125,27.296691649355605,53,129,418.0,129.27103310486848,239,614,8.0,3.7080992435478315,5,16,0.9579985,0.7080964,0.11002196,2.4594183,2.957305,1.181017,0.92533714,4.5879245,4.0846963,2.55232,2.0628777,9.359238,817,8,3,5e9f53cc9dc0406f8987ac5a,2020-04-21T21:26:08.689Z,0.625,8
881,18,0.18250377073906485,0.193446088794926,73.66666666666667,25.315783394730033,38,98,394.1666666666667,146.43475983826002,183,526,4.5,1.707825127659933,2,7,0.55222934,0.621291,0.046586417,1.7882718,2.0944788,1.0762806,0.6301361,3.2357085,1.8532919,1.0933123,0.8553426,3.7085555,881,9,1,5e9f48469dc0406f8987976c,2020-04-21T20:24:32.557Z,1.0,6
908,19,0.2077727952167414,0.20530785562632697,74.33333333333333,27.79488362191063,35,120,392.5,146.77164803417133,179,624,4.166666666666667,1.5723301886761007,2,6,0.33195698,0.21871822,0.042546455,0.5712591,1.8188227,0.90924686,0.23328045,3.0863702,2.015887,0.76180637,0.75385565,3.0948694,908,9,2,5d482eaa21c9be351f763c90,2020-04-21T20:39:27.217Z,0.5,6
